x           y1          y2          y3
100     0.2104      0.66      3.17
200     0.2135      0.56      2.21
300     0.2147      0.53      2.03
400     0.2153      0.53      2.03
500     0.2151      0.52      2.03
600     0.2159      0.52      2.03
700     0.2132      0.51      2.02
800     0.2084      0.50      1.99
900     0.203579    0.49      1.93
1000    0.201139    0.49      1.81
1100    0.203276    0.48      1.59
1200    0.204132    0.48      1.52
1300    0.20488     0.48      1.52
1400    0.203379    0.47      1.49
1500    0.19946     0.47      1.49 % data file

